cpf,name,date_of_birth,salary_range,phone
420647305,Antonio Freitas Klein,2003-06-01,12000+,(17) 9349-7271
550375091,Simone Moreira Milani,2001-12-04,0-2000,(15) 7847-7168
349312651,Breno Santos Pierri,2001-04-16,5000-8000,(19) 8349-9391
348740915,Marcelo Costa Gonzalez,1975-04-16,2000-5000,(86) 7501-6982
590033650,Renato Nogueira Manoel,1981-12-11,0-2000,(15) 7135-5722
473816192,Luciana Costa Moreno,1998-07-18,0-2000,(31) 7182-4446
230851816,Natalia Freitas Schneider,2003-02-16,5000-8000,(74) 9443-3769
276151502,Amabile Teteshi Barbosa,1964-12-06,2000-5000,(15) 7556-8386
525130731,Natalia Barros Villasboas,1997-02-20,0-2000,(16) 9081-9149
479270682,Vinicius Watanabe Toffoli,1986-05-15,5000-8000,(86) 8795-8162
480604344,Airton Camargo Bernardi,1972-08-08,5000-8000,(19) 9579-4294
201824256,Poliana Zucatelli Machado,1984-03-05,8000-12000,(31) 8275-6181
208394975,Sinezio Moreno Mendes,1974-01-26,12000+,(13) 8129-5251
386064168,Lucia Medeiros Camargo,1988-08-25,0-2000,(86) 9037-6525
298192955,Juliana Viana Vilar,1987-03-16,5000-8000,(74) 7232-9928
569731327,Luciane Esteves Ruberti,1968-12-21,12000+,(16) 8463-2232
585005971,Frederico Milani Zardetto,1969-02-09,2000-5000,(86) 7855-8991
588037621,Renato Flora Rocha,1975-01-24,8000-12000,(13) 8612-2124
547882559,Enrico Fernandes Amorim,1966-08-01,5000-8000,(86) 7455-6782
269048745,Yuri Stefanelli Bianchi,1989-07-11,12000+,(31) 9051-2117
466695367,Clara Toffoli Teixeira,1985-01-02,8000-12000,(86) 8864-5881
256986282,Barbara Ferretti Pelegrino,1990-07-31,5000-8000,(17) 7960-3138
207533399,Valeska Miranda Moreira,1982-09-11,5000-8000,(31) 7993-1927
477378972,Renata Freitas Teixeira,1970-10-30,12000+,(19) 9542-6613
475363589,Frederico Esteves Perez,1972-03-13,12000+,(21) 9140-2377
400058853,Marcia Medeiros Girardi,1960-04-05,0-2000,(19) 9614-2596
494613168,Lucas Colombo Rizzo,1997-11-10,8000-12000,(74) 7043-6259
265053840,Marcelo Simom Caruso,1988-12-14,12000+,(17) 7789-1827
328663303,Amanda Camargo Villa,1996-05-18,5000-8000,(21) 7158-3278
463675402,Pedro Martinelli Girardi,1996-03-02,2000-5000,(21) 8241-3984
229269074,Osvaldo Almeida Wainer,1992-03-03,8000-12000,(16) 9603-2361
368389952,Katia Melo Paes,1994-01-12,2000-5000,(21) 9610-6217
578240062,Raquel Prado Martins,1993-11-27,12000+,(31) 8620-8196
360116675,Raquel Correa Uehara,1993-07-09,5000-8000,(19) 8897-9339
461747939,Isabela Costa Manoel,1997-12-27,5000-8000,(17) 7435-8684
359258741,Gustavo Melo Castro,1972-02-27,2000-5000,(21) 9591-7396
231919542,Guilherme Moura Meirelles,1985-10-17,2000-5000,(79) 8003-3886
507475718,Katia Pelegrino Soares,1965-02-06,2000-5000,(17) 8620-1796
400667217,Luciana Moreno Alves,1992-11-15,5000-8000,(12) 8265-1528
414924769,Poliana Schneider Martinelli,1966-05-26,5000-8000,(15) 9254-5395
316729134,Jennifer Olimpio Moura,1976-10-21,8000-12000,(15) 8856-7757
571689627,Cristina Schmidt Duarte,1974-02-08,5000-8000,(17) 8297-9599
250936091,Gabriela de Marchi Ramos,1988-09-20,5000-8000,(15) 7488-2696
474049630,Alberto Morelli Teles,1962-12-03,0-2000,(17) 8028-8734
431077282,Luciane Bastos Martins,1974-02-09,12000+,(16) 9443-4728
449501590,Vitor Moreira Santos,2003-12-08,12000+,(12) 7511-8437
257574156,Marcia Justi Nogueira,2003-05-25,0-2000,(17) 7519-6767
552914499,Nicole Dias Ferretti,2002-03-02,12000+,(21) 9284-7785
319345555,Luiza Teles Colombo,1987-03-04,0-2000,(21) 9261-2726
305871768,Rita Pelegrino Gonçalves,1980-06-12,8000-12000,(79) 7078-2682
335756686,Nicole Varella Garcia,1985-05-31,5000-8000,(17) 8043-2663
387268049,Giulia Soares Medeiros,1964-12-13,5000-8000,(17) 8885-5258
404500527,Carlos Menezes Zucatelli,1998-02-28,8000-12000,(19) 7854-2732
237119632,Ana Almeida Amaral,1962-06-25,8000-12000,(86) 9480-6199
230280689,Barbara Fernandes Pierri,2002-02-04,0-2000,(74) 7778-9299
510151329,Tabata Simom Teteshi,1981-11-07,0-2000,(79) 7795-5741
519538704,Vinicius Silvestri Fernandes,1975-10-28,2000-5000,(17) 9129-1468
368730310,Vitor Fontes Pierri,1982-06-27,2000-5000,(79) 9669-9379
374547354,Amanda Cardoso Soares,1970-09-12,2000-5000,(12) 9720-1279
545739533,Osvaldo Villa Souza,1963-06-23,2000-5000,(31) 7766-6253
441392300,Juliana Klein Martinelli,1982-08-21,8000-12000,(16) 8081-7352
239360173,Francisco Teles Arcuri,1995-08-18,5000-8000,(17) 8713-7438
390337726,Amanda Klein Simom,1964-09-09,8000-12000,(17) 9576-6641
254068419,Frederico Nogueira Monteiro,1999-05-29,8000-12000,(19) 7818-9662
346118137,Vivian Soares Oliveira,1961-02-15,8000-12000,(13) 8509-7815
399999169,Etori Monteiro Martins,1993-04-27,5000-8000,(74) 9454-1997
452790003,Cristiane Correa Gonçalves,1976-12-11,12000+,(16) 7141-8474
276368937,Paulo Villasboas Amorim,1968-05-15,12000+,(79) 8406-9576
201651382,Eduardo Lorenzetti Melo,1991-09-13,5000-8000,(74) 8133-2225
317074652,Brenda Carvalho Mello,1960-11-16,12000+,(15) 9254-1437
231839338,Almir Ruberti Teixeira,1987-10-29,5000-8000,(13) 8323-5162
533900237,Daniele Mendes Pelegrino,2002-10-29,5000-8000,(79) 8923-8756
354610635,Carla Paes Amorim,1964-03-31,12000+,(12) 8632-5868
280390814,Barbara Costa Bianchi,1989-12-04,0-2000,(21) 7727-4256
572042026,Marta Bernardi Correa,2002-08-05,5000-8000,(13) 8165-6498
336619761,Poliana Paes Teixeira,1997-05-13,5000-8000,(21) 7856-3741
317998753,Everton Prado Monteiro,2003-05-01,8000-12000,(31) 8372-2477
545033260,Cristiane Padovani Gomes,1971-04-20,2000-5000,(31) 7743-4372
344560929,Hiago Toffoli Fernandes,1983-11-13,12000+,(21) 7660-9937
389646427,Wilson Shutz Zardetto,1965-03-04,12000+,(12) 8781-6212
487470148,Alexandre Ramos Nunes,1998-09-17,8000-12000,(21) 9391-1827
342819085,Mario Pelegrino Correa,1994-03-03,0-2000,(15) 8130-6268
308249850,Ana Gonzalez Bernardi,1989-04-26,8000-12000,(31) 9594-6956
541792940,Isadora Nunes Marques,1991-12-27,0-2000,(86) 7144-5229
462923297,Luiza Shutz Moura,1962-09-03,0-2000,(86) 8408-5137
332963613,Miquel Wainer Ambrosio,1988-11-13,0-2000,(21) 9879-4781
341970726,Luciana Perez Gonzalez,1979-11-20,12000+,(31) 9416-9763
297061025,Renata Ferri Klein,2003-01-01,12000+,(15) 9498-8157
551032761,Lara de Marchi Colombo,1969-07-23,12000+,(12) 8976-8474
565693277,Willian Antonelli Nicoletti,1960-06-25,0-2000,(13) 7652-6383
242968225,Fernando Rossi Mendes,1976-02-24,0-2000,(79) 9071-2638
534689190,Charles Lombardi Andrade,1963-08-27,12000+,(13) 7182-9433
233897552,Rita Milani Gonzalez,1997-07-21,2000-5000,(79) 8989-6844
507312999,Pedro Menezes Moura,1991-02-01,12000+,(16) 8062-5421
292457594,Ricardo Medeiros Gomes,1982-03-29,2000-5000,(13) 8666-7542
453392273,Augusto Gomes Lombardi,1970-10-11,8000-12000,(86) 7047-9478
445385227,Nicole Padovani Correa,1983-10-30,2000-5000,(19) 8411-3961
299372926,Miquel Fiore Pierri,1985-07-09,0-2000,(74) 9851-1251
518375286,Andreia Ruberti Mendes,2002-11-14,0-2000,(12) 8213-3133
499833203,Leonardo Costa Carvalho,1998-03-15,0-2000,(86) 9643-7382
432127109,Airton Ferretti Borges,1975-10-29,12000+,(74) 8941-3499
555846845,Thiago Fontes Fonseca,1967-03-21,8000-12000,(17) 9172-5843
208306453,Felipe Quaresma Nardoni,1984-12-20,5000-8000,(16) 8575-2367
395265075,Sofia Castro Moreira,1992-11-01,5000-8000,(17) 7610-4267
455895476,Charles Eller Campos,1961-03-17,5000-8000,(79) 7239-5165
467444811,Etori Gonzalez Gomes,1980-05-11,0-2000,(21) 8717-2865
225000716,Rafael Machado Garcia,1970-09-15,2000-5000,(86) 8552-9349
584621358,Charles Harper Teles,1996-02-15,2000-5000,(21) 9138-6371
319282168,Vitoria Teles Gonçalves,1984-01-15,0-2000,(13) 7014-9141
459428884,Osvaldo Justi Meirelles,1989-07-22,12000+,(19) 8579-5674
408706948,Danilo Camargo Nunes,1997-02-18,8000-12000,(12) 9101-2794
557649471,Julia Costa Sato,1986-03-17,5000-8000,(16) 9605-1819
343888935,Leticia Melo Andrade,2003-12-01,5000-8000,(17) 7697-9438
270769456,Amanda Schmidt Fonseca,1994-11-06,2000-5000,(15) 7612-7294
224356585,Marcelo Soares Flora,1970-05-26,8000-12000,(74) 9798-3539
223873699,Laura Costa Fernandes,1971-11-21,0-2000,(79) 7063-8631
537523002,Miquel de Marchi Borges,1983-11-22,5000-8000,(19) 7056-8955
261793086,Katia Meirelles Bianchi,1988-11-12,12000+,(13) 8506-3791
461581850,Brenda Paes Oliveira,1981-11-30,0-2000,(86) 7140-2276
495935035,Renato Almeida Paes,1989-02-10,12000+,(86) 9474-7931
578300228,Wilson Perez Nardoni,1967-10-01,5000-8000,(13) 9385-6512
573863564,Bruno Bastos Romano,1971-02-26,5000-8000,(13) 8385-1239
430701299,Isadora Watanabe Viana,1996-04-19,0-2000,(16) 8300-9521
433019591,Marcia Justi Ruberti,1971-12-08,0-2000,(19) 8282-5952
503408697,Lara Moreira Pierri,1969-07-18,5000-8000,(31) 9553-5996
326128862,Luiz Queiroz Eller,1970-04-27,8000-12000,(16) 8357-1376
232351772,Ana Harper Padovani,1966-08-29,8000-12000,(21) 9410-1887
416056168,Fernando Gonçalves Batista,2003-10-05,12000+,(21) 7486-8635
275704812,Katia Olimpio Vilar,1981-01-06,2000-5000,(86) 7276-5437
520959630,Alessandra Pereira Olimpio,1966-07-06,2000-5000,(12) 7748-8931
548374067,Almir Barbosa Santos,1977-12-03,2000-5000,(15) 7412-9713
285597827,Ricardo Lopes Ribeiro,1980-11-23,5000-8000,(12) 9604-6931
449903731,Roberto Cardoso Luca,1980-06-11,8000-12000,(15) 9733-7821
216929591,Daniel Teixeira Pereira,1993-06-09,12000+,(79) 7391-5929
325245441,Luciana Lima Ramos,1990-07-30,12000+,(79) 8815-9169
287485672,Carla Simas Schneider,1977-09-01,0-2000,(79) 7807-3638
297539338,Arthur Ruberti Nunes,1976-04-22,2000-5000,(19) 8958-1288
449236406,Roberto Antonelli Cardoso,1981-06-22,8000-12000,(19) 9261-7296
455479801,Arthur Simom Alves,1994-08-31,12000+,(79) 7219-6318
342679272,Vinicius Ramos Varella,1978-09-06,8000-12000,(13) 7210-5281
259569660,Marcelo Luca Girardi,1971-08-16,8000-12000,(31) 8940-8729
211713966,Matheus Fiore Castro,1992-03-16,8000-12000,(74) 9528-4322
318126290,Carol Arcuri Prado,2003-11-16,12000+,(19) 8059-7439
245531495,Tiago Oliveira Justi,1970-03-31,5000-8000,(31) 7695-7774
468364788,Breno Shutz Ruberti,2000-12-15,5000-8000,(16) 8275-8965
561475600,Rita Borges Dias,1982-06-28,0-2000,(15) 9318-9741
535985270,Alessandra Fernandes Esteves,1980-02-19,2000-5000,(16) 8541-5942
522366544,Matheus Gonçalves Dias,1972-04-07,8000-12000,(19) 8478-4626
518913203,Danilo Dias Fontes,2002-12-17,12000+,(12) 9501-2885
457185199,Zacarias Pierri Martinelli,1971-07-05,0-2000,(12) 7206-5745
221854939,Alberto Machado Sato,1995-11-03,12000+,(15) 8830-2411
409904051,Almir Borges da Silva,1977-01-02,12000+,(31) 7399-7967
516517280,Yuri Gonzalez Cunha,1988-08-01,0-2000,(21) 7376-2998
336272161,Tabata Toffoli Mendes,1962-10-09,0-2000,(13) 9138-4949
517357742,Joao Eller Flora,1977-04-18,5000-8000,(19) 8695-3146
487433537,Matheus Pierri Fontes,1982-09-20,2000-5000,(13) 8372-8871
533107073,Vivian Ramos Justi,2003-10-13,2000-5000,(15) 8526-1928
599724824,Alessandra Schneider Antonelli,1978-01-02,2000-5000,(12) 9249-2588
480994987,Wilson Lorenzetti Carvalho,1961-04-07,2000-5000,(86) 9873-4493
441619617,Gustavo Santana Milani,1981-07-10,0-2000,(17) 8393-9784
348714633,Daniele Rodrigues Watanabe,1972-05-10,0-2000,(16) 9498-6873
576266519,Eduardo Barros Justi,1968-07-16,2000-5000,(74) 9249-3234
453250067,Arthur Padovani Rocha,1973-10-20,2000-5000,(86) 9850-7553
309183193,Vitoria Simom Costa,1964-09-25,2000-5000,(19) 7217-3553
263508764,Barbara Kropf Medeiros,1963-12-23,2000-5000,(79) 7429-4394
478796003,Airton Weiss Sato,2002-12-01,12000+,(74) 8576-5679
465131144,Almir Mantovani Teixeira,1963-09-07,0-2000,(31) 7643-3125
418043704,Isabela Luca Medeiros,1964-05-10,12000+,(12) 9306-9731
209365433,Luiz Zardetto Quaresma,2000-05-09,2000-5000,(19) 8696-4648
479746821,Bruno Queiroz Mantovani,1978-09-08,0-2000,(17) 8245-8532
417727987,Paulo Lozzano Moreira,1962-11-09,0-2000,(74) 7892-3786
422031009,Marcelo Ramos Martins,2002-04-30,2000-5000,(16) 7381-2527
498892172,Lucia Padovani Viana,1987-12-30,8000-12000,(21) 8057-4789
347035172,Fabio Mendes Dias,1977-07-24,8000-12000,(74) 7676-7871
595294890,Juliano Olimpio Carvalho,1979-08-21,8000-12000,(16) 7818-7221
258217466,Osvaldo Paes Fernandes,1970-04-24,8000-12000,(86) 9715-9463
492469132,Fernanda Milani Varella,1975-04-11,0-2000,(79) 7150-3353
324521263,Isadora Simas Rocha,1988-11-07,0-2000,(15) 9207-1621
409550248,Simone Watanabe Ferraz,1992-08-22,0-2000,(74) 9111-2467
559184720,Cristiane Camargo Muller,1962-10-04,12000+,(31) 8099-7244
436100166,Leticia Toffoli Vieira,1963-10-15,12000+,(74) 7472-5149
418150407,Miquel Nicoletti Uehara,1960-05-24,5000-8000,(13) 8460-5127
410971489,Natalia Pereira Oliveira,1997-10-14,5000-8000,(21) 9626-6797
289645430,Rogerio Castro Almeida,1996-05-11,12000+,(17) 8315-1387
493001259,Clara Borges Toffoli,1997-06-15,12000+,(86) 8998-8582
318580948,Zacarias Correa Moura,1968-09-06,12000+,(21) 7597-5313
585984906,Cristina Milani Ferri,1963-05-31,2000-5000,(15) 7197-5514
305116228,Almir Oliveira Schneider,1996-08-02,5000-8000,(15) 9012-5328
392385998,Cristina Viana Klein,1996-11-11,0-2000,(12) 8273-8529
598689698,Andreia Bernardi Silvestri,1994-08-01,8000-12000,(19) 8725-4259
295927472,Daniele Girardi Quaresma,1960-03-19,5000-8000,(13) 7164-9463
389754475,Luana Nascimento Caruso,1994-08-06,5000-8000,(19) 8674-9615
506675624,Eduardo Fonseca Pierri,1980-12-08,5000-8000,(31) 8559-1333
566107406,Matheus Gentili Rossi,1994-04-21,12000+,(17) 8465-9684
445613074,Valeska Varella Teteshi,2002-07-16,0-2000,(31) 8759-4363
513328044,Lucia Moura Harper,1999-05-11,2000-5000,(31) 9012-9399
439240323,Almir Vieira Miranda,1991-10-21,5000-8000,(21) 7757-9265
401200767,Raquel Rossi Meirelles,1983-10-16,5000-8000,(31) 7558-4577
226045379,Fabio Olimpio Barros,1971-02-09,2000-5000,(19) 9037-6419
520580815,Sergio Medeiros Romano,1964-08-17,0-2000,(79) 7070-3644
332034112,Paulo Alves Viana,1989-10-27,5000-8000,(19) 9474-3196
258517707,Amabile Campos Bernardi,1972-07-20,12000+,(15) 9062-8127
258047797,Sergio Ferri Bianchi,1970-02-02,8000-12000,(19) 8178-8369
508964870,Yuri Ruberti Schneider,1966-02-11,12000+,(15) 7066-9831
545915702,Tiago Miranda Barros,1972-05-09,0-2000,(12) 7931-8863
586360081,Vitor Watanabe Vieira,1999-06-04,0-2000,(12) 7304-7991
255757945,Almir Justi Martins,1996-07-16,12000+,(31) 7007-9593
271815271,Regina Castro Ferreira,1967-03-26,12000+,(31) 9023-6895
582779380,Carlos Schmidt Duarte,1976-02-13,12000+,(31) 7106-2775
493164936,Vitoria Girardi Almeida,1963-02-17,0-2000,(31) 9843-2996
463317275,Fernando Kropf Bastos,1998-10-02,8000-12000,(12) 9100-6269
481888859,Almir Ambrosio Nascimento,1965-02-24,2000-5000,(86) 8360-8882
300588003,Cristina Ambrosio Lins,1988-10-29,2000-5000,(86) 7955-1738
393447915,Carol Watanabe Schmidt,1983-09-12,12000+,(12) 7516-8161
221324894,Mariana Fiore Lima,1987-12-10,12000+,(31) 7006-4123
299631037,Natalia Sato Romano,1995-01-02,12000+,(16) 7699-2499
252897166,Cristiane Moraes Gomes,2000-12-03,2000-5000,(31) 7150-8979
350824838,Yuri Menezes Cunha,1995-05-06,12000+,(21) 9823-1116
508644741,Nicole Mello Moreira,1982-06-25,0-2000,(86) 7411-8384
372024028,Mariana Bezerra Silvestri,1971-04-12,2000-5000,(19) 8397-9691
202546838,Yuri Melo Stefanelli,1996-05-01,5000-8000,(19) 8795-6657
261643131,Sergio Martinelli Pinheiro,1970-11-06,12000+,(17) 8377-5929
577883413,Jorge Garcia Teteshi,1984-07-20,12000+,(19) 9862-5794
494564174,Fernanda Mantovani Uehara,1980-05-10,5000-8000,(17) 9224-8671
293196847,Luiz Sato Gomes,2003-04-21,12000+,(74) 8116-7146
519793936,Thiago da Silva Ruberti,1966-11-23,2000-5000,(21) 8206-7337
304589184,Vivian Vieira Lopes,1998-09-09,8000-12000,(19) 7894-5431
427377056,Marcelo Ramos Vilar,1990-01-07,8000-12000,(19) 7776-1213
217632257,Renato Sato Bianchi,1994-05-21,12000+,(79) 9851-8219
282534543,Laura Martinelli Barbosa,1968-01-10,0-2000,(21) 8501-4823
474271129,Sergio Arcuri Santana,1973-01-07,8000-12000,(21) 9716-4861
423786118,Frederico de Marchi Watanabe,1967-04-25,2000-5000,(79) 7545-4635
249697733,Luiz Kropf Moreno,1982-06-27,12000+,(31) 9507-8469
284510323,Vinicius Lombardi Mendes,1981-01-08,2000-5000,(31) 9732-7369
384647681,Osvaldo Martinelli Queiroz,1991-04-20,5000-8000,(79) 9133-3717
439304639,Clara Ferraz Rocha,1961-08-09,5000-8000,(12) 9802-8773
304223201,Willian Toffoli Teles,1992-08-30,8000-12000,(86) 7005-6511
362121872,Lara Villasboas Uehara,1970-03-07,0-2000,(79) 7117-2629
359607355,Poliana Klein Dias,1989-11-06,8000-12000,(86) 8977-3694
569872104,Osvaldo Meirelles Ambrosio,2003-09-05,2000-5000,(21) 7801-9698
462426607,Gabriela Lima Romano,1990-10-23,0-2000,(19) 8722-8722
353163332,Regina Schneider Freitas,1986-12-15,8000-12000,(13) 8336-8862
270336093,Roberto Gentili Flora,1963-04-07,2000-5000,(19) 7180-2939
376188169,Jennifer Cunha Amaral,1983-07-27,2000-5000,(74) 7745-6543
296744930,Sinezio Miranda Lopes,2000-10-08,2000-5000,(21) 8724-9646
405562522,Amabile Nunes Moreno,2001-08-30,12000+,(31) 7776-4823
422778902,Almir Bianchi Lopes,1972-09-30,2000-5000,(19) 8016-8312
523455955,Caio Soares Villasboas,1979-03-07,0-2000,(21) 9792-5666
247618727,Thiago Mendes Oliveira,1970-09-28,0-2000,(74) 8363-8954
516370695,Danilo Esteves Araujo,1970-04-18,2000-5000,(13) 8509-1368
598620405,Fernanda Watanabe Stefanelli,1987-07-05,8000-12000,(86) 8986-1288
281893682,Regina Flora Schneider,2003-02-11,0-2000,(19) 7337-2318
551391628,Danilo Caruso Quaresma,2001-07-31,0-2000,(15) 8867-6873
383338687,Antonio Carvalho Ribeiro,1989-01-22,8000-12000,(31) 8340-6135
588164692,Breno Mello Teixeira,1968-03-05,0-2000,(13) 7207-4532
599593626,Eduardo Bernardi Colombo,2001-08-29,0-2000,(74) 9357-6339
355068762,Katia Weiss Almeida,1984-01-18,0-2000,(74) 9491-3556
230385020,Teresa Carvalho Fiore,1995-06-07,0-2000,(74) 9403-1583
567351172,Giulia Toffoli Perez,1973-07-31,2000-5000,(15) 7628-9878
583950682,Poliana Meirelles Campos,1976-02-23,8000-12000,(15) 8955-9543
312206179,Valeska Vieira Padovani,1996-03-22,0-2000,(21) 8756-7397
517028754,Isadora Monteiro Weiss,2000-05-20,2000-5000,(12) 9073-3622
425260796,Regina Bernardi Alves,2001-09-01,2000-5000,(31) 9440-8751
